species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,YT01,EDBJR 23229,Santa Lucia,south_bay,NA,NA,neonate,2.99,8.4,NA,0.542,4.5,WT,N
Thamnophis atratus,YT03,EDBJR 23231,Santa Lucia,south_bay,NA,NA,neonate,3.04,18.3,NA,0.4468,3,WT,WT
Thamnophis atratus,YT04,EDBJR 23232,Santa Lucia,south_bay,NA,NA,neonate,2.67,17.4,NA,0.5701,15,EPN,EPN
Thamnophis atratus,YT05,EDBJR 23233,Santa Lucia,south_bay,NA,NA,neonate,2.77,17.7,NA,0.4808,25,EPN,EPN
Thamnophis atratus,YT06,EDBJR 23234,Santa Lucia,south_bay,NA,NA,neonate,3.13,17.3,NA,0.4115,6.5,WT,WT
Thamnophis atratus,YT07,EDBJR 23235,Santa Lucia,south_bay,NA,NA,neonate,2.81,17.3,NA,0.4156,7.4,WT,WT
Thamnophis atratus,YT08,EDBJR 23236,Santa Lucia,south_bay,NA,NA,neonate,2.74,17.5,NA,0.4655,15,EPN,EPN
Thamnophis atratus,YV02,EDBJR 23238,Santa Lucia,south_bay,NA,NA,neonate,2.17,16.5,NA,0.4158,10,EPN,EPN
Thamnophis atratus,YV05,EDBJR 23241,Santa Lucia,south_bay,NA,NA,neonate,2.06,16.3,NA,0.4873,25,EPN,EPN
Thamnophis atratus,YV06,EDBJR 23242,Santa Lucia,south_bay,NA,NA,neonate,2.19,16.7,NA,0.4782,6,WT,WT
Thamnophis atratus,YV07,EDBJR 23243,Santa Lucia,south_bay,NA,NA,neonate,2.15,16.2,NA,0.4484,10,EPN,EPN
Thamnophis atratus,YV08,EDBJR 23244,Santa Lucia,south_bay,NA,NA,neonate,1.93,16.2,NA,0.3436,25,EPN,EPN
Thamnophis atratus,YV09,EDBJR 23245,Santa Lucia,south_bay,NA,NA,neonate,2,16,NA,0.3794,25,EPN,EPN
Thamnophis atratus,YV10,EDBJR 23246,Santa Lucia,south_bay,NA,NA,neonate,1.8,15.9,NA,0.3894,7.2,WT,WT
Thamnophis atratus,YV11,EDBJR 23247,Santa Lucia,south_bay,NA,NA,neonate,2.02,16.3,NA,0.3837,25,EPN,EPN
Thamnophis atratus,YY01,EDBJR 23288,Santa Lucia,south_bay,NA,NA,neonate,4.04,18.2,NA,0.4822,50,EPN,EPN
Thamnophis atratus,YY03,EDBJR 23290,Santa Lucia,south_bay,NA,NA,neonate,3.82,19.1,NA,0.6127,3,WT,WT
Thamnophis atratus,NA,CRF 2325,Soquel,south_bay,NA,NA,neonate,5.7,NA,NA,0.3891,NA,EPN,EPN
Thamnophis atratus,NA,CRF 3584,NA,nor_coast,Humboldt,F,adult,60,47,NA,0.7392,1.8,P,P
Thamnophis atratus,NA,CRF 3585,NA,nor_coast,Humboldt,F,adult,67,50,NA,0.5568,2.63,P,P
Thamnophis atratus,NA,CRF 3586,NA,nor_coast,Humboldt,NA,adult,48,48,NA,0.9456,2.1,P,P
Thamnophis atratus,NA,CRF 3587,NA,nor_coast,Humboldt,F,adult,57,48,NA,0.7015,2.31,P,P
Thamnophis atratus,NA,CRF 3588,NA,nor_coast,Humboldt,F,adult,56,46.5,NA,0.7671,3.12,P,P
Thamnophis atratus,NA,CRF 3589,NA,nor_coast,Humboldt,F,adult,54,48.5,NA,0.7341,1.98,P,P
Thamnophis atratus,NA,CRF 3605,NA,nor_coast,Siskiyou,NA,adult,25,41.5,NA,0.7257,0.848,WT,WT
Thamnophis atratus,NA,CRF 3606,NA,nor_coast,Siskiyou,NA,subadult,15,34,NA,0.6266,0.87,WT,WT
Thamnophis atratus,NA,CRF 3607,NA,nor_coast,Siskiyou,F,adult,133,60,NA,0.6043,1.68,WT,WT
Thamnophis atratus,NA,CRF 3608,NA,nor_coast,Siskiyou,NA,subadult,18,35,NA,0.8342,0.92,WT,WT
Thamnophis atratus,NA,CRF 3609,NA,nor_coast,Siskiyou,M,adult,62,57,NA,0.4702,1.8,WT,WT
Thamnophis atratus,NA,CRF 3610,NA,nor_coast,Siskiyou,NA,adult,69,54,NA,0.6078,1.8,WT,WT
Thamnophis atratus,NA,CRF 3611,NA,nor_coast,Siskiyou,F,adult,89,55,NA,0.5837,1.15,WT,WT
Thamnophis atratus,NA,CRF 3613,NA,nor_coast,Shasta,NA,adult,30,44.5,NA,0.8128,0.86,WT,WT
Thamnophis atratus,NA,CRF 3614,NA,nor_coast,Shasta,NA,adult,88,55,NA,1.0062,1.03,WT,WT
Thamnophis atratus,NA,CRF 3615,NA,nor_coast,Shasta,F,adult,81,57,NA,0.6356,1.79,WT,WT
Thamnophis atratus,NA,CRF 3617,NA,nor_coast,Siskiyou,NA,adult,31,41.5,NA,0.8651,0.98,WT,WT
Thamnophis atratus,NA,CRF 3618,NA,nor_coast,Siskiyou,NA,adult,40,45.5,NA,0.7294,1.85,WT,WT
Thamnophis atratus,NA,CRF 3619,NA,nor_coast,Siskiyou,M,adult,72,57,NA,0.8682,1.6,WT,WT
Thamnophis atratus,NA,CRF 3620,NA,nor_coast,Siskiyou,NA,adult,60,54,NA,0.9071,1.56,WT,WT
Thamnophis atratus,NA,CRF 3621,NA,nor_coast,Siskiyou,M,adult,88,64,NA,0.7693,1.89,WT,WT
Thamnophis atratus,NA,CRF 3622,NA,nor_coast,Siskiyou,M,adult,81,58.5,NA,0.7392,1.79,WT,WT
Thamnophis atratus,NA,CRF3444,Hammerhorn Lk.,nor_coast,NA,M,adult,60.5,53.5,NA,0.6492,0.691,P,P
Thamnophis atratus,NA,CRF3445,Hammerhorn Lk.,nor_coast,NA,F,adult,75,56,NA,0.715,NA,P,P
Thamnophis atratus,NA,CRF3446,Hammerhorn Lk.,nor_coast,NA,F,adult,61,53.5,NA,0.818,0.673,P,P
Thamnophis atratus,NA,CRF3447,Hammerhorn Lk.,nor_coast,NA,M,adult,61,53.5,NA,0.7536,0.667,P,P
Thamnophis atratus,NA,CRF3448,Hammerhorn Lk.,nor_coast,NA,F,adult,82,57.5,NA,0.7132,NA,P,P
Thamnophis atratus,NA,CRF3449,Hammerhorn Lk.,nor_coast,NA,F,adult,33,47,NA,0.8357,2.434,P,P
Thamnophis atratus,NA,CRF3450,Hammerhorn Lk.,nor_coast,NA,F,adult,115,66,NA,0.6163,NA,P,P
Thamnophis atratus,NA,CRF3451,Hammerhorn Lk.,nor_coast,NA,F,adult,110,60,NA,0.3453,NA,P,P
Thamnophis atratus,NA,CRF3452,Hammerhorn Lk.,nor_coast,NA,M,adult,57,52,NA,0.7536,NA,P,P
Thamnophis atratus,NA,CRF3453,Hammerhorn Lk.,nor_coast,NA,F,adult,103,63.5,NA,0.8381,NA,P,P
Thamnophis atratus,NA,CRF3454,Hammerhorn Lk.,nor_coast,NA,M,adult,49.5,50,NA,0.9236,2.838,P,P
Thamnophis atratus,NA,CRF3455,Hammerhorn Lk.,nor_coast,NA,M,adult,63,54,NA,0.4373,NA,P,P
